<<<<<<< HEAD
﻿1;5;1;12:01:00.0000000;14:00:00.0000000;103600;2024-06-11
2;1;1;12:30:00.0000000;NULL;0;2024-06-11
3;15;1;10:00:00.0000000;NULL;0;2024-06-11
4;14;1;13:30:00.0000000;NULL;0;2024-02-11
5;10;1;16:00:00.0000000;NULL;0;2024-03-07
6;12;1;14:30:00.0000000;16:00:00.0000000;48000;2024-06-11
7;8;1;13:00:00.0000000;NULL;0;2024-06-13
=======
﻿1;5;1;12:01:00.0000000;14:00:00.0000000;103600;2024-06-11
2;1;1;12:30:00.0000000;NULL;0;2024-06-11
3;15;1;10:00:00.0000000;NULL;0;2024-06-11
4;14;1;13:30:00.0000000;NULL;0;2024-02-11
5;10;1;16:00:00.0000000;NULL;0;2024-03-07
6;12;1;14:30:00.0000000;16:00:00.0000000;48000;2024-06-11
7;8;1;13:00:00.0000000;NULL;0;2024-06-13
>>>>>>> ef24e1b3889393cf65c996b033354ffb1c9c6031
